Time-Course Task

Problem Description:
    AutomaticStepSize: 0
    StepNumber: 1000
    StepSize: 0.25
    Duration: 250
    TimeSeriesRequested: 1
    OutputStartTime: 0
    Output Event: 0
    Start in Steady State: 0
    Use Values: 0
    Values: 

Method: Deterministic (LSODA)
    Integrate Reduced Model: 0
    Relative Tolerance: 1e-06
    Absolute Tolerance: 1e-12
    Max Internal Steps: 100000
    Max Internal Step Size: 0


Time-Course Result:

# Time	EpoRJAK2	EpoRpJAK2	STAT5	CIS	SOCS3	p12EpoRpJAK2	SHP1	CISRNA	SOCS3RNA	CISnRNA1	CISnRNA3	SOCS3nRNA1	SOCS3nRNA3	npSTAT5	CISnRNA4	p2EpoRpJAK2	SOCS3nRNA4	EpoRJAK2_CIS	SOCS3nRNA2	CISnRNA2	CISnRNA5	SOCS3nRNA5	pSTAT5	p1EpoRpJAK2	SHP1Act	
14.25	3.26512	0.171315	20.6592	0.00435663	0.404277	0.293207	26.6449	0.000667692	0.00232814	689.762	97.2821	0.00136303	0.00116481	14.7879	27.5444	0.209025	0.00105052	1.29754e-27	0.00126908	287.918	6.71128	0.000927643	48.9276	0.0375524	0.0802448	
14.5	3.27794	0.171325	20.7798	0.00498874	0.4334	0.283021	26.6438	0.000745962	0.00249585	711.081	104.32	0.00138505	0.0011922	14.9877	30.1483	0.206581	0.00108058	1.45951e-27	0.00129373	302.584	7.49791	0.00096004	48.6696	0.0373577	0.0812605	
14.75	3.29019	0.171314	20.9039	0.00569361	0.463482	0.273305	26.6428	0.000830947	0.00266908	732.247	111.633	0.00140642	0.00121886	15.1813	32.9149	0.204241	0.00110993	1.36479e-27	0.00131769	317.483	8.35203	0.000991804	48.4124	0.037165	0.082253	
15	3.30192	0.171284	21.0314	0.00647734	0.494498	0.26405	26.6419	0.000922993	0.0028477	753.248	119.22	0.00142715	0.00124481	15.3689	35.8479	0.201995	0.00113857	1.15259e-27	0.00134097	332.603	9.2771	0.00102292	48.156	0.0369739	0.0832234	
15.25	3.31313	0.171235	21.1621	0.00734633	0.526428	0.255241	26.6409	0.00102244	0.00303157	774.07	127.079	0.00144726	0.00127005	15.5505	38.9512	0.199832	0.00116649	1.04341e-27	0.00136358	347.928	10.2766	0.00105336	47.9005	0.036784	0.0841726	
15.5	3.32385	0.171168	21.2959	0.00830729	0.559247	0.246866	26.64	0.00112965	0.00322056	794.702	135.206	0.00146674	0.0012946	15.7263	42.2284	0.197746	0.0011937	9.80966e-28	0.00138552	363.446	11.3539	0.00108313	47.6458	0.0365948	0.0851015	
15.75	3.3341	0.171082	21.4327	0.0093672	0.592931	0.238908	26.6391	0.00124494	0.00341454	815.133	143.6	0.00148563	0.00131846	15.8963	45.6827	0.195728	0.0012202	1.0189e-27	0.00140682	379.141	12.5127	0.00111222	47.3921	0.0364062	0.0860109	
16	3.3439	0.170978	21.5724	0.0105334	0.627459	0.23135	26.6382	0.00136868	0.00361337	835.352	152.255	0.00150392	0.00134164	16.0608	49.3173	0.193773	0.001246	9.4087e-28	0.00142748	395.001	13.7562	0.00114061	47.1393	0.036218	0.0869016	
16.25	3.35328	0.170859	21.7149	0.0118134	0.662805	0.224174	26.6373	0.0015012	0.00381692	855.351	161.17	0.00152164	0.00136415	16.2198	53.1351	0.191874	0.00127111	4.96768e-28	0.00144751	411.013	15.088	0.00116832	46.8875	0.03603	0.0877745	
16.5	3.36227	0.170723	21.86	0.0132152	0.698946	0.217363	26.6365	0.00164285	0.00402504	875.12	170.339	0.00153878	0.00138602	16.3735	57.1385	0.190026	0.00129554	-3.88424e-28	0.00146694	427.162	16.5115	0.00119533	46.6368	0.0358422	0.0886302	
16.75	3.37087	0.170573	22.0077	0.0147469	0.735859	0.210898	26.6356	0.00179395	0.00423761	894.651	179.759	0.00155537	0.00140724	16.5218	61.3301	0.188226	0.00131928	-1.02203e-27	0.00148576	443.435	18.03	0.00122166	46.3871	0.0356545	0.0894693	
17	3.37912	0.170409	22.1578	0.0164171	0.77352	0.20476	26.6348	0.00195485	0.00445449	913.936	189.425	0.00157142	0.00142782	16.665	65.712	0.186468	0.00134236	-1.2534e-27	0.001504	459.82	19.647	0.0012473	46.1385	0.0354669	0.0902927	
17.25	3.38703	0.170232	22.3103	0.0182343	0.811907	0.198933	26.634	0.00212588	0.00467554	932.97	199.331	0.00158692	0.00144779	16.8032	70.286	0.18475	0.00136478	-1.09035e-27	0.00152165	476.303	21.3656	0.00127226	45.891	0.0352795	0.0911008	
17.5	3.39462	0.170043	22.465	0.0202078	0.850995	0.193399	26.6332	0.00230734	0.00490064	951.744	209.472	0.00160191	0.00146715	16.9365	75.0537	0.183068	0.00138655	-1.17048e-27	0.00153875	492.872	23.1892	0.00129655	45.6447	0.0350921	0.0918943	
17.75	3.40191	0.169842	22.622	0.0223467	0.890762	0.18814	26.6324	0.00249957	0.00512964	970.253	219.843	0.00161638	0.00148591	17.0648	80.0166	0.18142	0.00140769	-1.59923e-27	0.00155528	509.515	25.121	0.00132017	45.3995	0.034905	0.0926737	
18	3.40893	0.169631	22.781	0.0246607	0.931187	0.183142	26.6317	0.00270288	0.00536243	988.493	230.439	0.00163035	0.00150408	17.1885	85.1758	0.179804	0.00142819	-2.10225e-27	0.00157127	526.22	27.164	0.00134314	45.1554	0.0347181	0.0934395	
18.25	3.41567	0.16941	22.942	0.0271595	0.972246	0.178387	26.6309	0.00291755	0.00559888	1006.46	241.252	0.00164383	0.00152168	17.3075	90.5321	0.178217	0.00144809	-2.32198e-27	0.00158673	542.974	29.3213	0.00136545	44.9126	0.0345315	0.0941923	
18.5	3.42217	0.16918	23.1049	0.0298533	1.01392	0.173862	26.6302	0.0031439	0.00583885	1024.14	252.278	0.00165682	0.00153871	17.422	96.0862	0.176659	0.00146737	-2.32621e-27	0.00160167	559.767	31.5959	0.00138713	44.671	0.0343452	0.0949323	
18.75	3.42844	0.168942	23.2697	0.0327524	1.05618	0.169551	26.6294	0.0033822	0.00608223	1041.55	263.508	0.00166934	0.0015552	17.532	101.838	0.175126	0.00148607	-2.19965e-27	0.0016161	576.586	33.9906	0.00140817	44.4306	0.0341594	0.0956602	
19	3.43449	0.168696	23.4362	0.0358672	1.09902	0.165443	26.6287	0.00363273	0.0063289	1058.66	274.938	0.0016814	0.00157114	17.6377	107.789	0.173619	0.00150418	-2.10415e-27	0.00163002	593.42	36.5081	0.0014286	44.1914	0.0339742	0.0963763	
19.25	3.44033	0.168443	23.6044	0.0392087	1.1424	0.161523	26.628	0.00389576	0.00657873	1075.49	286.56	0.00169301	0.00158654	17.7391	113.938	0.172136	0.00152171	-1.81686e-27	0.00164345	610.26	39.1513	0.00144841	43.9534	0.0337895	0.0970809	
