time,EpoRJAK2_1,EpoRpJAK2_1,p1EpoRpJAK2_1,p2EpoRpJAK2_1,p12EpoRpJAK2_1,EpoRJAK2_CIS_1,SHP1_1,SHP1Act_1,STAT5_1,pSTAT5_1,npSTAT5_1,CISnRNA1_1,CISnRNA2_1,CISnRNA3_1,CISnRNA4_1,CISnRNA5_1,CISRNA_1,CIS_1,SOCS3nRNA1_1,SOCS3nRNA2_1,SOCS3nRNA3_1,SOCS3nRNA4_1,SOCS3nRNA5_1,SOCS3RNA_1,SOCS3_1,Epo_1
234.75,3.7548918404524487,0.12322559614646077,0.015357269850971555,0.06136564451817905,0.021379649058061174,-2.347880625175877e-23,26.55325060158824,0.17184939841175034,69.55542575286802,7.507151100684797,3.914070031513731,338.0771654453828,337.52125891472787,337.4410326751379,337.9824646182056,339.32228907077825,0.03377372108350491,20.660175842191094,0.0003828178472285907,0.0003826462300112159,0.0003824789056178463,0.0003823160778631125,0.0003821579562107936,0.04447903228572577,7.723918953475131,1.24997e-07
235.0,3.7548810913670474,0.123228740039146,0.0153581580432604,0.06136986320041068,0.021382147376256752,-2.3175681193739466e-23,26.553231844534135,0.17186815546585738,69.55388241128179,7.508357634060037,3.914559934366063,338.11032665525806,337.5416114761446,337.44424702727315,337.96327424486964,339.2743174005857,0.03376894591350248,20.647504281431676,0.00038286475271078613,0.000382692052539021,0.000382523592569105,0.0003823595751736342,0.00038220020832278423,0.044456601437628224,7.720023765637112,1.24997e-07
235.25,3.75487039009576,0.1232318697231897,0.015359042274360989,0.06137406318820408,0.02138463474460668,-2.2881685650070144e-23,26.553213108096905,0.17188689190308168,69.5523357654949,7.509565647205396,3.9150524909355693,338.14382146854945,337.562425356215,337.448078892807,337.9448913942879,339.2273833252502,0.033764274021549794,20.63485500798159,0.00038291193107566524,0.00038273816153453193,0.00038256857995005566,0.0003824033872582829,0.00038224278994282267,0.04443422488448327,7.716138006284141,1.24997e-07
235.5,3.7548597366146486,0.12323498522592372,0.015359922551723781,0.06137824451509712,0.02138711111872903,-2.259504259821985e-23,26.55319439231412,0.17190560768586916,69.55078587930653,7.510775100097043,3.915547666639888,338.1776461680195,337.5836959783327,337.4525226729492,337.9273092522242,339.1814785887719,0.0337597045858832,20.622228067255215,0.0003829593788447568,0.0003827845534242319,0.00038261386408989785,0.00038244751034332755,0.00038228569718721936,0.044411902572163035,7.712261666016789,1.24997e-07
235.75,3.7548491307458187,0.1232380865599587,0.015360798877490254,0.06138240719051643,0.021389576652337698,-2.2318388440314993e-23,26.553175697222375,0.17192430277761284,69.54923281782993,7.511985951799423,3.916045426311483,338.2117969797066,337.6054186989054,337.45757268949694,337.9105209157168,339.1365948407775,0.03375523677534569,20.609623507821947,0.0003830070924800102,0.0003828312245670803,0.0003826594412418768,0.0003824919405811476,0.0003823289261160366,0.04438963445030295,7.708394736089146,1.24997e-07
236.0,3.754838572415741,0.12324117374842086,0.01536167125757112,0.06138655124100946,0.021392031363379378,-2.2051124815682576e-23,26.553157022858613,0.1719429771413757,69.54767664443189,7.513198162554994,3.9165457356096294,338.2462702125229,337.6275889726856,337.46322338104653,337.89451961666856,339.0927238833171,0.033750869773951656,20.59704137466775,0.00038305506852683263,0.0003828781714119492,0.0003827053077559261,0.0003825366742203167,0.0003823724728742951,0.044367420464947536,7.704537207131719,1.24997e-07
236.25,3.754828061549821,0.12324424681464612,0.015362539697939492,0.06139067669340708,0.021394475270307967,-2.1792533270873287e-23,26.553138369259575,0.17196163074041412,69.54611742198676,7.514411692928061,3.9170485604416925,338.28106220103007,337.6502022849992,337.4694692225662,337.8792986301845,339.0498575696638,0.033746602770813976,20.584481711956073,0.000383103303555467,0.0003829253904331195,0.00038275146000795205,0.0003825817075359235,0.0003824163336340725,0.04434526056156248,7.700689069674503,1.24997e-07
236.5,3.754817598072411,0.12324730578217648,0.015363404204629892,0.06139478357481809,0.02139690839208649,-2.1541770243129587e-23,26.55311973646181,0.17198026353817877,69.54455521288001,7.515626503802501,3.9175538669614256,338.3161693052653,337.67325415154045,337.47630472515425,337.8648512742882,339.00798780398304,0.033742434960111076,20.57194456303528,0.0003831517941608225,0.0003829728781301081,0.0003827978943996564,0.00038262703682938993,0.0003824605045943148,0.04432315468504202,7.696850314148255,1.24997e-07
236.75,3.7548071819068154,0.12325035067475652,0.015364264783737232,0.06139887191262358,0.02139933074818904,-2.1297862043853714e-23,26.553101124501673,0.1719988754983165,69.5429900790115,7.516842556379495,3.9180616215672726,338.3515879105669,337.69674011816716,337.48372443579757,337.8511709096376,338.9671065410013,0.033738365541054006,20.55942997044613,0.0003832005369623043,0.00038302063102749526,0.00038284460735835997,0.0003826726584282884,0.00038250498198064717,0.04430110277971627,7.693020930885775,1.24997e-07
237.0,3.754796812975302,0.12325338151632978,0.015365121441415828,0.061402941734471445,0.021401742358602663,-2.1059699842075773e-23,26.553082533415317,0.17201746658467112,69.54142208179906,7.518059812175243,3.918571790900661,338.38731442740055,337.7206557606955,337.4917229371295,337.83825093924077,338.9272057856754,0.033734393717853486,20.546937975929207,0.00038324952860364453,0.00038306864567475154,0.0003828915953368259,0.0003827185686861603,0.00038254976204518573,0.04427910478935858,7.689200910123175,1.24997e-07
