task1.time,task1.SOCS3,task2.SOCS3,task3.SOCS3,task1.pSTAT5,task2.pSTAT5,task3.pSTAT5,task1.CIS,task2.CIS,task3.CIS
16.56,0.7077292771670052,294.8446275861178,0.11147070098623772,46.57562579038405,0.1505861332243196,15.601068321944554,0.013570603455646695,7.489900232116283e-06,579.2017429597441
16.68,0.7254402735629897,294.8446453841399,0.1147757356028729,46.45577385849761,0.15215491352375846,15.639998039768077,0.014304408433054194,7.918849930556256e-06,579.1964489450135
16.8,0.7433251513179506,294.84466363188665,0.11813777896171108,46.33617099505037,0.15371962482047213,15.678144112396254,0.015069543211153051,8.36849789005803e-06,579.1911651647993
16.919999999999998,0.7613813371889245,294.84468233544294,0.12155686658075107,46.21681996600874,0.15528011506087924,15.71552349284636,0.01586695919913864,8.839650022405979e-06,579.1858917756017
17.04,0.7796062631282065,294.8447015008631,0.12503302174265826,46.09772345485805,0.1568362328388053,15.752152686116611,0.01669762243099212,9.333135586587053e-06,579.1806289373844
17.16,0.7979973642359014,294.8447211341697,0.12856625500183175,45.9788840972566,0.15838782810898386,15.788047696497625,0.017562513196020067,9.849807618923296e-06,579.175376813767
17.28,0.8165521021641023,294.8447412413558,0.13215656479742197,45.86030432416295,0.1599347537159112,15.823224068498655,0.01846262742886221,1.039054338705871e-05,579.170135571969
17.4,0.8352679491138115,294.8447618283717,0.13580393794501175,45.741986495781596,0.16147686013556187,15.857696914226333,0.019398975431459558,1.095624460625731e-05,579.1649053827473
17.52,0.8541423795607075,294.8447829011315,0.139508349639001,45.62393283804182,0.1630139995147254,15.891480905806906,0.02037258088921408,1.154783798718238e-05,579.1596864205121
17.64,0.8731728960954233,294.844804465519,0.14326976368474265,45.50614551066861,0.164546027115005,15.924590284420756,0.02138448282221211,1.2166275573736182e-05,579.1544788633616
17.759999999999998,0.8923570145148187,294.844826527373,0.14708813297699272,45.38862657117202,0.16607279816802467,15.95703888499265,0.02243573411720736,1.2812535183105193e-05,579.1492828929878
17.88,0.9116922623139762,294.84484909248283,0.15096339970427186,45.27137793908868,0.16759416723166362,15.988840143613695,0.023527401100737002,1.3487620816767556e-05,579.144098694728
18.0,0.9311761833805346,294.84487216659505,0.15489549550355927,45.15440142992792,0.16910999039298805,16.02000710348432,0.024660563764760383,1.4192563038449333e-05,579.1389264576773
18.12,0.9508063445364946,294.8448957554085,0.15888434185413977,45.037698805404034,0.17062012446223035,16.05055243141395,0.025836316175684756,1.492841938701567e-05,579.1337663745694
18.24,0.9705803277258105,294.8449198645788,0.162929850325097,44.92127171316863,0.17212442831770247,16.080488426881928,0.0270557654592841,1.569627470593179e-05,579.12861864177
