task1.time,task1.pSTAT5,task1.CIS,task1.SOCS3,task1.SOCS3RNA,task1.CISRNA
56.5,20.568294797441673,7.645930920750948,7.833478283458663,0.045110020430756965,0.12603915808224433
56.75,20.473587431692646,7.744557391987803,7.86359167437926,0.045283431157145324,0.12654707448929056
57.0,20.379485549504015,7.843432856503843,7.893460271155572,0.0454554322109272,0.1270433652550665
57.25,20.28598560533304,7.94254625086393,7.923084748679195,0.04562602747857742,0.12752804616990931
57.5,20.193084035502604,8.04188654652625,7.952465798293736,0.04579522094131037,0.12800113639915228
57.75,20.10077729321257,8.14144274013914,7.981604128916395,0.045963016681538744,0.1284626584053088
58.0,20.009061847695676,8.241203855918329,8.010500466649084,0.04612941888063421,0.12891263786805426
58.25,19.91793418900987,8.341159011426745,8.039155545821192,0.04629443176734645,0.12935110374232212
58.5,19.827390822022476,8.441297361776748,8.067570116462594,0.046458059660837034,0.12977808805155866
58.75,19.737428267214217,8.541608120546782,8.095744941409313,0.04662030695401224,0.13019362584809055
59.0,19.648043059980154,8.642080563790115,8.12368079569415,0.04678117811001389,0.13059775513666042
59.25,19.559231749930603,8.742704034043559,8.151378465937329,0.046940677658710364,0.13099051679796253
59.5,19.470990900192078,8.843467944336203,8.178838749737121,0.04709881019318746,0.13137195451217853
59.75,19.383317142750702,8.944361694037605,8.206062466831666,0.0472555804340246,0.131742114536883
60.0,19.296207158878385,9.045374702558474,8.233050454525136,0.047410993202956,0.13210104567962647
60.25,19.20965753102851,9.146496645242657,8.25980353611737,0.04756505324107048,0.13244879960451297
60.5,19.123664914750982,9.24771718583648,8.286322556550392,0.04771776541408449,0.13278543030718695
60.75,19.03822598416108,9.349026065180732,8.312608370492148,0.047869134643721556,0.1331109941782549
61.0,18.953337431941414,9.45041310411663,8.338661841874394,0.04801916590505101,0.1334255499249995
61.25,18.868996007779614,9.551868051411871,8.36448386304508,0.048167864336778346,0.1337291586414186
61.5,18.785198439770827,9.653380903593641,8.390075314195412,0.04831523500760332,0.13402188342662144
61.75,18.701941484297922,9.754941706736414,8.415437088351577,0.04846128306013643,0.1343037894990246
62.0,18.619221922422607,9.856540573927443,8.44057008906994,0.048606013697626516,0.13457494410413184
62.25,18.537036556198423,9.958167703047131,8.4654752280924,0.04874943217045899,0.13483541642201252
62.5,18.455382194912175,10.059813358726837,8.490153426911153,0.04889154378516663,0.1350852777389416
62.75,18.3742556457092,10.161467860667393,8.514605617724802,0.0490323539099354,0.13532460154065917
63.0,18.293653781498566,10.263121684086537,8.538832733664451,0.049171867918320795,0.13555346222390216
63.25,18.213573475059288,10.364765366031428,8.562835717597242,0.04931009123994358,0.1357719362001964
63.5,18.134011618397288,10.466389535385272,8.586615519093172,0.049447029343022995,0.13598010147540732
63.75,18.054965122725655,10.567984914759416,8.610173094082297,0.04958268773240274,0.13617803757573646
64.0,17.97643088144797,10.669542282531348,8.633509407387693,0.04971707196413729,0.13636582638459274
64.25,17.898405838443857,10.771052548317105,8.656625427073287,0.049850187612943325,0.13654355038689425
64.5,17.8208869565328,10.872506720913062,8.679522126550822,0.04998204028433298,0.13671129337100757
64.75,17.74387120812693,10.973895900140162,8.702200484962077,0.050112635616814845,0.13686914058438995
65.0,17.667355582131698,11.07521128619092,8.724661486298148,0.05024197927682226,0.13701717848920314
65.25,17.59133708512254,11.176444164778937,8.746906120774613,0.05037007696663235,0.1371554949077688
65.5,17.515812744385943,11.277585870022095,8.768935388499823,0.05049693444549013,0.13728417945722293
65.75,17.44077959581081,11.378627928256813,8.790750284509933,0.05062255744343162,0.13740332163420643
66.0,17.366234694298505,11.479561932914272,8.812351811500614,0.05074695173460042,0.13751301239256933
66.25,17.292175110578036,11.580379581758677,8.833740975837854,0.05087012311427549,0.13761334361228852
66.5,17.21859793102599,11.681072678239952,8.854918787264442,0.05099207739718106,0.13770440803447404
66.75,17.14550027571175,11.781633064248142,8.875886266164933,0.051112820459322236,0.13778629994646308
67.0,17.072879268984558,11.882052731495984,8.896644431148543,0.05123235816648043,0.13785911391370403
67.25,17.000732044838653,11.982323801999858,8.917194301055375,0.0513506963857664,0.13792294494298446
67.5,16.929055759182322,12.082438482575272,8.937536899825854,0.05146784101366103,0.13797788892979765
67.75,16.857847584164958,12.182389086864164,8.95767325392919,0.051583797961207094,0.1380240423672817
68.0,16.787104709102973,12.282168026220088,8.977604393128326,0.05169857315841419,0.13806150244048734
68.25,16.716824346441637,12.381767749812095,8.997331356361146,0.051812172588126065,0.13809036790208812
68.5,16.64700371480444,12.481180915773875,9.016855174343664,0.05192460218584003,0.13811073639267285
68.75,16.577640053084462,12.58040024933074,9.036176883710482,0.05203586792113567,0.1381227065779499
69.0,16.508730616506657,12.679418582728893,9.055297522838508,0.05214597577362535,0.13812637748830445
69.25,16.440272676590087,12.77822885583801,9.07421813163285,0.05225493173172146,0.13812184846353026
69.5,16.37226351562521,12.876824081800304,9.092939754352805,0.05236274180890993,0.13810921992728856
69.75,16.304700433709193,12.975197392706997,9.11146343547748,0.052469412019942194,0.13808859226187603
70.0,16.23758075093339,13.073342054381216,9.129790218258394,0.05257494837250019,0.1380600654163456
70.25,16.170901800536896,13.171251423591743,9.147921148279101,0.05267935688769471,0.1380237398812018
70.5,16.1046609313336,13.268918964362738,9.165857271874968,0.052782643590965676,0.137979716260277
70.75,16.03885550729567,13.36633824607837,9.18359963614792,0.052884814512166915,0.13792809528355926
